event_id,amount,event_type,bank,error_code,product_id,payment_method,intervention,recovery_probability,expected_recovery,priority_score,priority
E03431,24714.71,PAYMENT_FAILED,Bank_A,E42,P016,UPI,ALTERNATE_PAYMENT,0.7800815,19279.48830945253,19279.48830945253,HIGH
E01166,24996.31,CHECKOUT_ABANDONED,Bank_A,E42,P011,CARD,SEND_REMINDER,0.76999056,19246.92281963706,19246.92281963706,HIGH
E00098,24262.9,PAYMENT_FAILED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.79172635,19209.57727644444,19209.57727644444,HIGH
E02938,24600.45,CHECKOUT_ABANDONED,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.78006804,19190.02481201291,19190.02481201291,HIGH
E03540,22162.18,SUBSCRIPTION_FAILED,Bank_A,E42,P006,UPI,ALTERNATE_PAYMENT,0.8658764,19189.708116596936,19189.708116596936,HIGH
E00006,21568.54,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.8888926,19172.115404678585,19172.115404678585,HIGH
E03596,22507.61,SUBSCRIPTION_FAILED,Bank_A,E42,P006,WALLET,ALTERNATE_PAYMENT,0.8491091,19111.41676772058,19111.41676772058,HIGH
E00771,22314.42,SUBSCRIPTION_FAILED,Bank_A,E42,P020,UPI,ALTERNATE_PAYMENT,0.854883,19076.218651052717,19076.218651052717,HIGH
E01647,24560.9,PAYMENT_FAILED,Bank_A,E42,P002,UPI,ALTERNATE_PAYMENT,0.7753592,19043.52010322213,19043.52010322213,HIGH
E00112,21920.78,SUBSCRIPTION_FAILED,Bank_A,E42,P018,UPI,ALTERNATE_PAYMENT,0.865918,18981.597552331685,18981.597552331685,HIGH
E01060,23721.0,CHECKOUT_ABANDONED,Bank_A,E42,P008,UPI,ALTERNATE_PAYMENT,0.7994942,18964.802082002163,18964.802082002163,HIGH
E03894,22034.4,SUBSCRIPTION_FAILED,Bank_A,E42,P009,WALLET,ALTERNATE_PAYMENT,0.8581802,18909.486347436905,18909.486347436905,HIGH
E00295,21796.86,SUBSCRIPTION_FAILED,Bank_A,E42,P017,CARD,ALTERNATE_PAYMENT,0.8665995,18889.147981477978,18889.147981477978,HIGH
E00679,23502.93,SUBSCRIPTION_FAILED,Bank_B,E42,P012,UPI,ALTERNATE_PAYMENT,0.7997309,18796.019289847613,18796.019289847613,HIGH
E00881,24889.12,INVOICE_OVERDUE,Bank_D,E11,P017,UPI,RETRY_PAYMENT,0.75477326,18785.642220096583,18785.642220096583,HIGH
E01534,24113.53,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,ALTERNATE_PAYMENT,0.778698,18777.158238235115,18777.158238235115,HIGH
E02620,24096.31,CHECKOUT_ABANDONED,Bank_A,E42,P009,WALLET,ALTERNATE_PAYMENT,0.7787213,18764.30919648707,18764.30919648707,HIGH
E01856,24913.04,INVOICE_OVERDUE,Bank_B,E42,P014,WALLET,SEND_REMINDER,0.75120455,18714.78900896549,18714.78900896549,HIGH
E01439,21027.9,SUBSCRIPTION_FAILED,Bank_A,E42,P007,CARD,ALTERNATE_PAYMENT,0.88936025,18701.37838084102,18701.37838084102,HIGH
E02081,23657.15,PAYMENT_FAILED,Bank_A,E42,P012,WALLET,ALTERNATE_PAYMENT,0.78622335,18599.80377071202,18599.80377071202,HIGH
E02855,24986.75,INVOICE_OVERDUE,Bank_A,E42,P012,CARD,ALTERNATE_PAYMENT,0.74288815,18562.360546961427,18562.360546961427,HIGH
E04309,24310.13,PAYMENT_FAILED,Bank_A,E42,P017,CARD,ALTERNATE_PAYMENT,0.76246506,18535.624723156096,18535.624723156096,HIGH
E02281,21889.37,SUBSCRIPTION_FAILED,Bank_A,E42,P018,WALLET,ALTERNATE_PAYMENT,0.84646076,18528.49275823533,18528.49275823533,HIGH
E03773,24930.8,CHECKOUT_ABANDONED,Bank_D,E23,P004,UPI,SEND_REMINDER,0.74258286,18513.18470647335,18513.18470647335,HIGH
E03646,23659.76,SUBSCRIPTION_FAILED,Bank_A,E17,P009,UPI,ALTERNATE_PAYMENT,0.779869,18451.51384428501,18451.51384428501,HIGH
E02546,23288.44,CHECKOUT_ABANDONED,Bank_A,E42,P007,WALLET,ALTERNATE_PAYMENT,0.79199326,18444.287524847983,18444.287524847983,HIGH
E02684,23507.49,CHECKOUT_ABANDONED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.78254116,18395.57839491248,18395.57839491248,HIGH
E04007,20663.53,SUBSCRIPTION_FAILED,Bank_A,E42,P007,UPI,ALTERNATE_PAYMENT,0.88805985,18350.45144541025,18350.45144541025,HIGH
E00366,20715.7,SUBSCRIPTION_FAILED,Bank_A,E42,P016,UPI,ALTERNATE_PAYMENT,0.8849437,18332.228696608545,18332.228696608545,HIGH
E01787,20471.92,SUBSCRIPTION_FAILED,Bank_A,E42,P007,NETBANKING,ALTERNATE_PAYMENT,0.8944652,18311.420182056427,18311.420182056427,HIGH
E02535,20870.17,SUBSCRIPTION_FAILED,Bank_A,E42,P012,WALLET,ALTERNATE_PAYMENT,0.87693477,18301.77766138792,18301.77766138792,HIGH
E00257,24299.18,CHECKOUT_ABANDONED,Bank_A,E42,P005,UPI,ALTERNATE_PAYMENT,0.75177956,18267.62675823212,18267.62675823212,HIGH
E03554,23567.64,INVOICE_OVERDUE,Bank_A,E42,P014,UPI,ALTERNATE_PAYMENT,0.7748116,18260.48145714283,18260.48145714283,HIGH
E00838,24914.89,INVOICE_OVERDUE,Bank_B,E23,P016,NETBANKING,SEND_REMINDER,0.7320408,18238.71656824529,18238.71656824529,HIGH
E02170,23748.93,CHECKOUT_ABANDONED,Bank_D,E17,P009,NETBANKING,SEND_REMINDER,0.76520187,18172.725566387773,18172.725566387773,HIGH
E01503,23427.48,CHECKOUT_ABANDONED,Bank_A,E42,P019,UPI,ALTERNATE_PAYMENT,0.7746192,18147.37632369518,18147.37632369518,HIGH
E03918,20628.11,SUBSCRIPTION_FAILED,Bank_A,E42,P003,NETBANKING,ALTERNATE_PAYMENT,0.8791342,18134.87653187752,18134.87653187752,HIGH
E02993,20841.97,SUBSCRIPTION_FAILED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.86855173,18102.32912323475,18102.32912323475,HIGH
E00702,22666.78,CHECKOUT_ABANDONED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.79634327,18050.53763675332,18050.53763675332,HIGH
E04948,23372.42,INVOICE_OVERDUE,Bank_A,E42,P008,NETBANKING,ALTERNATE_PAYMENT,0.77221686,18048.576700721977,18048.576700721977,HIGH
E01128,20544.57,SUBSCRIPTION_FAILED,Bank_A,E42,P018,UPI,ALTERNATE_PAYMENT,0.8768114,18013.71287910819,18013.71287910819,HIGH
E04873,24322.3,PAYMENT_FAILED,Bank_D,E11,P007,UPI,RETRY_PAYMENT,0.7405654,18012.2542953372,18012.2542953372,HIGH
E02272,20307.28,SUBSCRIPTION_FAILED,Bank_A,E42,P015,WALLET,ALTERNATE_PAYMENT,0.8868724,18009.966369867325,18009.966369867325,HIGH
E01457,23375.13,PAYMENT_FAILED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.76905155,17976.680000467302,17976.680000467302,HIGH
E00186,24208.64,INVOICE_OVERDUE,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.74187183,17959.708150634764,17959.708150634764,HIGH
E00572,24519.03,PAYMENT_FAILED,Bank_A,E42,P010,UPI,ALTERNATE_PAYMENT,0.73222744,17953.506682165862,17953.506682165862,HIGH
E02900,22277.75,SUBSCRIPTION_FAILED,Bank_D,E42,P016,UPI,ALTERNATE_PAYMENT,0.80490965,17931.575877562165,17931.575877562165,HIGH
E00228,20735.06,SUBSCRIPTION_FAILED,Bank_A,E42,P020,WALLET,ALTERNATE_PAYMENT,0.8630678,17895.76273664832,17895.76273664832,HIGH
E00336,22290.08,SUBSCRIPTION_FAILED,Bank_A,E42,P013,NETBANKING,ALTERNATE_PAYMENT,0.80252206,17888.280991725922,17888.280991725922,HIGH
E01667,21413.93,PAYMENT_FAILED,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.8352616,17886.23307708025,17886.23307708025,HIGH
E04403,24247.1,CHECKOUT_ABANDONED,Bank_A,E42,P019,NETBANKING,ALTERNATE_PAYMENT,0.7376178,17885.092332857846,17885.092332857846,HIGH
E01032,22919.91,PAYMENT_FAILED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.77907866,17856.412825024723,17856.412825024723,HIGH
E02619,23310.2,PAYMENT_FAILED,Bank_A,E42,P016,UPI,ALTERNATE_PAYMENT,0.7659529,17854.51494344473,17854.51494344473,HIGH
E00304,24889.27,PAYMENT_FAILED,Bank_B,E17,P020,WALLET,RETRY_PAYMENT,0.71721035,17850.842108196615,17850.842108196615,HIGH
E04054,23862.56,PAYMENT_FAILED,Bank_A,E42,P012,CARD,ALTERNATE_PAYMENT,0.74598116,17801.020113630297,17801.020113630297,HIGH
E03962,20389.84,SUBSCRIPTION_FAILED,Bank_A,E42,P005,UPI,ALTERNATE_PAYMENT,0.8726026,17792.22703011513,17792.22703011513,HIGH
E00102,22016.41,CHECKOUT_ABANDONED,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.80792,17787.497506957054,17787.497506957054,HIGH
E00826,23454.73,PAYMENT_FAILED,Bank_A,E42,P017,WALLET,ALTERNATE_PAYMENT,0.75704306,17756.24065606296,17756.24065606296,HIGH
E04217,22977.9,PAYMENT_FAILED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.7722228,17744.05866546035,17744.05866546035,HIGH
E01270,22269.07,CHECKOUT_ABANDONED,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.79632235,17733.358059706687,17733.358059706687,HIGH
E02295,24705.57,INVOICE_OVERDUE,Bank_A,E42,P013,WALLET,ALTERNATE_PAYMENT,0.71713,17717.1055465132,17717.1055465132,HIGH
E03229,24860.34,CHECKOUT_ABANDONED,Bank_A,E11,P006,CARD,SEND_REMINDER,0.7125774,17714.916504746674,17714.916504746674,HIGH
E00268,23819.39,CHECKOUT_ABANDONED,Bank_C,E23,P007,NETBANKING,SEND_REMINDER,0.74329,17704.714562560916,17704.714562560916,HIGH
E04340,23812.79,CHECKOUT_ABANDONED,Bank_D,E42,P016,WALLET,ALTERNATE_PAYMENT,0.7428022,17688.192864469886,17688.192864469886,HIGH
E04507,21792.36,SUBSCRIPTION_FAILED,Bank_D,E42,P005,CARD,ALTERNATE_PAYMENT,0.81119007,17677.74600600958,17677.74600600958,HIGH
E02956,22912.97,CHECKOUT_ABANDONED,Bank_A,E42,P016,WALLET,ALTERNATE_PAYMENT,0.77017415,17646.977095166447,17646.977095166447,HIGH
E01577,24212.63,CHECKOUT_ABANDONED,Bank_A,E42,P014,NETBANKING,ALTERNATE_PAYMENT,0.7287694,17645.4243599689,17645.4243599689,HIGH
E00534,24757.12,INVOICE_OVERDUE,Bank_A,E42,P019,UPI,ALTERNATE_PAYMENT,0.71199703,17626.99596496582,17626.99596496582,HIGH
E01582,24001.27,INVOICE_OVERDUE,Bank_A,E42,P019,UPI,ALTERNATE_PAYMENT,0.7342637,17623.26174999893,17623.26174999893,HIGH
E04008,23192.69,PAYMENT_FAILED,Bank_A,E42,P018,UPI,ALTERNATE_PAYMENT,0.75982517,17622.389622938037,17622.389622938037,HIGH
E03157,20967.74,SUBSCRIPTION_FAILED,Bank_A,E42,P016,CARD,ALTERNATE_PAYMENT,0.8402531,17618.208843226435,17618.208843226435,HIGH
E02914,22411.22,CHECKOUT_ABANDONED,Bank_A,E42,P009,WALLET,ALTERNATE_PAYMENT,0.78612566,17618.0351126194,17618.0351126194,HIGH
E03000,23945.92,PAYMENT_FAILED,Bank_A,E42,P020,UPI,ALTERNATE_PAYMENT,0.735011,17600.51416355133,17600.51416355133,HIGH
E04270,24644.66,INVOICE_OVERDUE,Bank_A,E42,P020,WALLET,ALTERNATE_PAYMENT,0.7130767,17573.533089144228,17573.533089144228,HIGH
E01899,21995.68,CHECKOUT_ABANDONED,Bank_A,E42,P002,NETBANKING,ALTERNATE_PAYMENT,0.7977088,17546.14770421028,17546.14770421028,HIGH
E03066,19776.52,SUBSCRIPTION_FAILED,Bank_A,E42,P017,WALLET,ALTERNATE_PAYMENT,0.88488376,17499.921405119898,17499.921405119898,HIGH
E02894,24367.28,INVOICE_OVERDUE,Bank_A,E42,P002,NETBANKING,ALTERNATE_PAYMENT,0.71638197,17456.279978489874,17456.279978489874,HIGH
E02493,24556.99,PAYMENT_FAILED,Bank_A,E42,P018,CARD,ALTERNATE_PAYMENT,0.7104086,17445.49757338822,17445.49757338822,HIGH
E01567,23671.72,CHECKOUT_ABANDONED,Bank_A,E42,P003,NETBANKING,ALTERNATE_PAYMENT,0.7361587,17426.1432989645,17426.1432989645,HIGH
E00798,24248.38,SUBSCRIPTION_FAILED,Bank_B,E42,P019,UPI,ALTERNATE_PAYMENT,0.7186307,17425.62960221529,17425.62960221529,HIGH
E00389,19763.82,SUBSCRIPTION_FAILED,Bank_A,E42,P007,UPI,ALTERNATE_PAYMENT,0.8815876,17423.53912583113,17423.53912583113,HIGH
E01374,23736.42,PAYMENT_FAILED,Bank_D,E42,P012,UPI,ALTERNATE_PAYMENT,0.7338872,17419.854707078932,17419.854707078932,HIGH
E02692,22383.56,PAYMENT_FAILED,Bank_A,E42,P007,UPI,ALTERNATE_PAYMENT,0.77704996,17393.144373691084,17393.144373691084,HIGH
E04886,24093.15,INVOICE_OVERDUE,Bank_A,E42,P003,UPI,ALTERNATE_PAYMENT,0.72093326,17369.55313783586,17369.55313783586,HIGH
E03110,23863.28,PAYMENT_FAILED,Bank_A,E42,P003,UPI,ALTERNATE_PAYMENT,0.7274161,17358.534025893212,17358.534025893212,HIGH
E04879,23573.75,CHECKOUT_ABANDONED,Bank_B,E42,P019,CARD,ALTERNATE_PAYMENT,0.7360076,17350.458482056856,17350.458482056856,HIGH
E03146,22182.34,SUBSCRIPTION_FAILED,Bank_D,E42,P011,NETBANKING,ALTERNATE_PAYMENT,0.7821273,17349.414152530433,17349.414152530433,HIGH
E03977,23511.28,PAYMENT_FAILED,Bank_C,E17,P009,UPI,RETRY_PAYMENT,0.7375912,17341.71339396,17341.71339396,HIGH
E03058,21570.41,PAYMENT_FAILED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.80347705,17331.32936980009,17331.32936980009,HIGH
E01428,23347.13,SUBSCRIPTION_FAILED,Bank_B,E42,P016,NETBANKING,ALTERNATE_PAYMENT,0.7418559,17320.206590593458,17320.206590593458,HIGH
E00862,24147.64,CHECKOUT_ABANDONED,Bank_A,E11,P007,WALLET,SEND_REMINDER,0.7162553,17295.875306296348,17295.875306296348,HIGH
E04906,22920.97,PAYMENT_FAILED,Bank_A,E42,P012,CARD,ALTERNATE_PAYMENT,0.7538862,17279.803497114182,17279.803497114182,HIGH
E01111,22517.36,CHECKOUT_ABANDONED,Bank_A,E42,P007,WALLET,ALTERNATE_PAYMENT,0.7667182,17264.469925875663,17264.469925875663,HIGH
E03556,24399.31,SUBSCRIPTION_FAILED,Bank_D,E42,P007,UPI,ALTERNATE_PAYMENT,0.70715225,17254.02690221429,17254.02690221429,HIGH
E02257,22005.08,INVOICE_OVERDUE,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.78338933,17238.54487582207,17238.54487582207,HIGH
E03336,21396.22,INVOICE_OVERDUE,Bank_A,E42,P008,WALLET,ALTERNATE_PAYMENT,0.80523205,17228.922050800324,17228.922050800324,HIGH
E03441,22084.74,PAYMENT_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.7791315,17206.915987383127,17206.915987383127,HIGH
E00643,22956.78,CHECKOUT_ABANDONED,Bank_A,E42,P004,WALLET,ALTERNATE_PAYMENT,0.74725574,17154.585685454607,17154.585685454607,HIGH
E00190,23629.45,PAYMENT_FAILED,Bank_C,E17,P010,WALLET,RETRY_PAYMENT,0.7253157,17138.810832029583,17138.810832029583,HIGH
E02849,23079.24,CHECKOUT_ABANDONED,Bank_A,E42,P005,CARD,ALTERNATE_PAYMENT,0.7420294,17125.475267000198,17125.475267000198,HIGH
E02735,22189.43,PAYMENT_FAILED,Bank_A,E42,P008,NETBANKING,ALTERNATE_PAYMENT,0.77141744,17117.313263112905,17117.313263112905,HIGH
E00828,23237.27,CHECKOUT_ABANDONED,Bank_A,E42,P014,WALLET,ALTERNATE_PAYMENT,0.7363614,17111.028306685686,17111.028306685686,HIGH
E04968,23312.88,SUBSCRIPTION_FAILED,Bank_A,E17,P007,WALLET,ALTERNATE_PAYMENT,0.73369545,17104.55392282963,17104.55392282963,HIGH
E01298,21434.15,SUBSCRIPTION_FAILED,Bank_C,E42,P011,CARD,ALTERNATE_PAYMENT,0.79751027,17093.95467450023,17093.95467450023,HIGH
E00079,23681.77,INVOICE_OVERDUE,Bank_C,E11,P007,UPI,ALTERNATE_PAYMENT,0.72181606,17093.88198454857,17093.88198454857,HIGH
E02560,23632.27,INVOICE_OVERDUE,Bank_A,E42,P016,NETBANKING,ALTERNATE_PAYMENT,0.72314477,17089.55244589567,17089.55244589567,HIGH
E02694,19316.8,SUBSCRIPTION_FAILED,Bank_A,E42,P015,NETBANKING,ALTERNATE_PAYMENT,0.88455665,17086.803918266294,17086.803918266294,HIGH
E02688,23770.08,CHECKOUT_ABANDONED,Bank_D,E42,P013,UPI,ALTERNATE_PAYMENT,0.7187371,17084.43896965027,17084.43896965027,HIGH
E04481,22267.05,INVOICE_OVERDUE,Bank_A,E42,P017,CARD,ALTERNATE_PAYMENT,0.7661752,17060.46172042787,17060.46172042787,HIGH
E00049,23435.79,CHECKOUT_ABANDONED,Bank_A,E42,P003,WALLET,ALTERNATE_PAYMENT,0.7274962,17049.448327433467,17049.448327433467,HIGH
E00397,24596.28,SUBSCRIPTION_FAILED,Bank_A,E42,P001,NETBANKING,ALTERNATE_PAYMENT,0.6929552,17044.120025904176,17044.120025904176,HIGH
E02247,23030.28,PAYMENT_FAILED,Bank_A,E42,P018,WALLET,ALTERNATE_PAYMENT,0.739592,17033.011208331583,17033.011208331583,HIGH
E01971,23836.04,INVOICE_OVERDUE,Bank_B,E17,P007,UPI,ALTERNATE_PAYMENT,0.71382576,17014.779422543048,17014.779422543048,HIGH
E03501,23947.88,CHECKOUT_ABANDONED,Bank_D,E17,P012,UPI,SEND_REMINDER,0.70857114,16968.77653633833,16968.77653633833,HIGH
E01599,23230.89,INVOICE_OVERDUE,Bank_A,E42,P004,UPI,ALTERNATE_PAYMENT,0.7301237,16961.423331157566,16961.423331157566,HIGH
E01758,23714.58,PAYMENT_FAILED,Bank_D,E23,P020,CARD,RETRY_PAYMENT,0.7149776,16955.394015891554,16955.394015891554,HIGH
E02989,22652.01,PAYMENT_FAILED,Bank_A,E42,P002,NETBANKING,ALTERNATE_PAYMENT,0.74728763,16927.566891077757,16927.566891077757,HIGH
E02814,23427.1,PAYMENT_FAILED,Bank_A,E42,P016,NETBANKING,ALTERNATE_PAYMENT,0.7217806,16909.226251238582,16909.226251238582,HIGH
E01557,19080.89,SUBSCRIPTION_FAILED,Bank_A,E42,P012,NETBANKING,ALTERNATE_PAYMENT,0.8857561,16901.01424120009,16901.01424120009,HIGH
E02378,22315.34,CHECKOUT_ABANDONED,Bank_A,E42,P003,WALLET,ALTERNATE_PAYMENT,0.75657934,16883.32519801259,16883.32519801259,HIGH
E03059,23661.27,PAYMENT_FAILED,Bank_A,E42,P019,CARD,ALTERNATE_PAYMENT,0.71347815,16881.799098538755,16881.799098538755,HIGH
E04259,23727.29,PAYMENT_FAILED,Bank_A,E42,P003,NETBANKING,ALTERNATE_PAYMENT,0.7108602,16866.785943445564,16866.785943445564,HIGH
E03410,21783.0,SUBSCRIPTION_FAILED,Bank_D,E42,P008,CARD,ALTERNATE_PAYMENT,0.77417094,16863.765480458736,16863.765480458736,HIGH
E02771,24865.38,INVOICE_OVERDUE,Bank_B,E42,P014,UPI,SEND_REMINDER,0.67731947,16841.805930036306,16841.805930036306,HIGH
E00700,23251.45,CHECKOUT_ABANDONED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.7237498,16828.232668945195,16828.232668945195,HIGH
E03107,23198.79,CHECKOUT_ABANDONED,Bank_A,E42,P019,CARD,ALTERNATE_PAYMENT,0.7233775,16781.48331190288,16781.48331190288,HIGH
E02046,24488.03,CHECKOUT_ABANDONED,Bank_B,E17,P018,UPI,SEND_REMINDER,0.68511856,16777.203753439186,16777.203753439186,HIGH
E01304,18998.98,SUBSCRIPTION_FAILED,Bank_A,E42,P012,WALLET,ALTERNATE_PAYMENT,0.8828727,16773.680782978536,16773.680782978536,HIGH
E04042,23807.38,CHECKOUT_ABANDONED,Bank_B,E11,P014,UPI,SEND_REMINDER,0.7045277,16772.95810556054,16772.95810556054,HIGH
E03226,18949.91,SUBSCRIPTION_FAILED,Bank_A,E42,P016,NETBANKING,ALTERNATE_PAYMENT,0.88418436,16755.214054961205,16755.214054961205,HIGH
E04601,23698.69,CHECKOUT_ABANDONED,Bank_C,E11,P010,CARD,SEND_REMINDER,0.70683753,16751.12362006545,16751.12362006545,HIGH
E04069,21651.0,PAYMENT_FAILED,Bank_A,E42,P018,NETBANKING,ALTERNATE_PAYMENT,0.7731945,16740.43394333124,16740.43394333124,HIGH
E03762,24463.4,CHECKOUT_ABANDONED,Bank_A,E42,P016,NETBANKING,ALTERNATE_PAYMENT,0.68399394,16732.81724379063,16732.81724379063,HIGH
E01283,23968.85,SUBSCRIPTION_FAILED,Bank_A,E42,P013,NETBANKING,ALTERNATE_PAYMENT,0.6977927,16725.28877008855,16725.28877008855,HIGH
